danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.459,0.764,9,-7.549,1,0.0408,0.000146,0.000238,0.146,0.14,104.206,audio_features,6TUSgkOr6PQURO4FcJeA5f,spotify:track:6TUSgkOr6PQURO4FcJeA5f,https://api.spotify.com/v1/tracks/6TUSgkOr6PQURO4FcJeA5f,https://api.spotify.com/v1/audio-analysis/6TUSgkOr6PQURO4FcJeA5f,270867,4
0.553,0.991,8,-3.703,1,0.0925,4.44e-05,0.0695,0.179,0.324,114.92,audio_features,3jaEzszdu0r4kXL1W6NKuq,spotify:track:3jaEzszdu0r4kXL1W6NKuq,https://api.spotify.com/v1/tracks/3jaEzszdu0r4kXL1W6NKuq,https://api.spotify.com/v1/audio-analysis/3jaEzszdu0r4kXL1W6NKuq,287067,4
0.576,0.989,2,-1.909,1,0.112,0.00252,0.0032,0.0243,0.352,135.093,audio_features,5Pm9uuEL0q6aXSRT3161UP,spotify:track:5Pm9uuEL0q6aXSRT3161UP,https://api.spotify.com/v1/tracks/5Pm9uuEL0q6aXSRT3161UP,https://api.spotify.com/v1/audio-analysis/5Pm9uuEL0q6aXSRT3161UP,283400,4
0.451,0.815,2,-5.55,0,0.0368,6.06e-05,0.0,0.27,0.618,147.974,audio_features,6ZxrUCaynLgKSUudACOTwj,spotify:track:6ZxrUCaynLgKSUudACOTwj,https://api.spotify.com/v1/tracks/6ZxrUCaynLgKSUudACOTwj,https://api.spotify.com/v1/audio-analysis/6ZxrUCaynLgKSUudACOTwj,194227,4
0.716,0.92,5,-4.381,1,0.0814,0.00254,0.522,0.108,0.314,119.993,audio_features,6o390mMOxciuooLdWHtC02,spotify:track:6o390mMOxciuooLdWHtC02,https://api.spotify.com/v1/tracks/6o390mMOxciuooLdWHtC02,https://api.spotify.com/v1/audio-analysis/6o390mMOxciuooLdWHtC02,215347,4
0.568,0.95,0,-6.187,0,0.0639,5.12e-05,5.92e-06,0.0754,0.572,125.046,audio_features,4JaJuGSfhcA7kavdgS3yn6,spotify:track:4JaJuGSfhcA7kavdgS3yn6,https://api.spotify.com/v1/tracks/4JaJuGSfhcA7kavdgS3yn6,https://api.spotify.com/v1/audio-analysis/4JaJuGSfhcA7kavdgS3yn6,222987,4
0.609,0.525,0,-8.039,1,0.0282,0.00168,0.0766,0.0999,0.0954,103.0,audio_features,5qDU2Jz2GMaFbU4jwNaZzd,spotify:track:5qDU2Jz2GMaFbU4jwNaZzd,https://api.spotify.com/v1/tracks/5qDU2Jz2GMaFbU4jwNaZzd,https://api.spotify.com/v1/audio-analysis/5qDU2Jz2GMaFbU4jwNaZzd,428053,4
0.486,0.986,8,-3.973,1,0.0787,3.81e-05,0.812,0.215,0.331,104.987,audio_features,5YlCqOgTTwuaUaeTXDC6kP,spotify:track:5YlCqOgTTwuaUaeTXDC6kP,https://api.spotify.com/v1/tracks/5YlCqOgTTwuaUaeTXDC6kP,https://api.spotify.com/v1/audio-analysis/5YlCqOgTTwuaUaeTXDC6kP,270320,1
0.242,0.991,7,-2.781,1,0.136,1.02e-05,0.000272,0.239,0.126,103.41,audio_features,0PbiMybun6FwTDksIufZNJ,spotify:track:0PbiMybun6FwTDksIufZNJ,https://api.spotify.com/v1/tracks/0PbiMybun6FwTDksIufZNJ,https://api.spotify.com/v1/audio-analysis/0PbiMybun6FwTDksIufZNJ,271120,4
0.242,0.978,1,-5.232,1,0.238,6.98e-06,0.0809,0.301,0.188,180.238,audio_features,5bH8p7BIFSZg5OBPJpOhgC,spotify:track:5bH8p7BIFSZg5OBPJpOhgC,https://api.spotify.com/v1/tracks/5bH8p7BIFSZg5OBPJpOhgC,https://api.spotify.com/v1/audio-analysis/5bH8p7BIFSZg5OBPJpOhgC,175560,4
